,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
297,Testbed,2024-11-01,Pre,28.4,20,41.14828667,1.0963784456253,0.4351924657821649,0.460139870643615,0.652724623680114,0.606426000595092,1431.214846
298,Testbed,2024-11-01,Pre,28.4,21,44.62865407,1.02293181419372,0.422257006168365,0.458483755588531,0.633323550224304,0.593751192092895,1476.081167
299,Testbed,2024-11-01,Pre,28.4,22,39.53769111,1.12664806842803,0.438058257102966,0.459885656833648,0.657023608684539,0.60920363664627,1893.921062
300,SHTFG,8/24/2018,Pre,121_1,12,33.0,1.713260293006897,0.5842817425727844,0.5938647389411926,0.8763285279273987,0.7375720143318176,1247.0
301,SHTFG,8/10/2018,Pre,214_1,8,58.0,1.302243709564209,0.6332905292510986,0.6697287559509277,0.9498342275619508,0.7754552960395813,2172.0
302,SHTFG,8/10/2018,Pre,211_2,2,47.0,1.2885327339172363,0.6115237474441528,0.6524348258972168,0.9171823859214784,0.758912981,1775.0
303,SHTFG,8/24/2018,Pre,121_1,10,32.0,1.597831368,0.5565457344055176,0.5712143778800964,0.8347300291061401,0.7150758504867554,1175.0
304,SHTFG,8/24/2018,Pre,211_1,6,57.0,1.633256912231445,0.5858782529830933,0.601837695,0.8787222504615784,0.738842785,2109.0
305,SHTFG,8/10/2018,Pre,214_1,9,33.0,1.1688026189804075,0.5708467364311218,0.626998246,0.856178343,0.7267742156982422,1192.0
306,SHTFG,8/10/2018,Pre,214_1,4,56.0,1.3288493156433103,0.6412280797958374,0.6690455079078674,0.9617366790771484,0.7813774943351746,2036.0
307,SHTFG,8/10/2018,Pre,211_2,8,99.0,1.477460265159607,0.680672288,0.7045454382896423,1.0209063291549685,0.8099817037582397,3551.0
308,SHTFG,8/10/2018,Pre,121_1,4,55.0,1.183321475982666,0.5918185710906982,0.6403207182884216,0.8876292109489441,0.7435488104820251,1970.0
