interval_from,interval_to,LST_min_K,LST_max_K,LST_mean_K,LST_stDev_K,Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
2024-11-05,2024-11-06,292.3299865722656,293.239990234375,292.91936826705836,0.3398443785829424,65536,0,293.0899963378906
2024-11-07,2024-11-08,291.70001220703125,292.57000732421875,292.2656631469683,0.32600053151061026,65536,0,292.42999267578125
2024-11-08,2024-11-09,293.04998779296875,294.0400085449219,293.6610049009348,0.3549543781106481,65536,0,293.8299865722656
2024-11-09,2024-11-10,289.5899963378906,290.3500061035156,290.0598450899119,0.2728639669891023,65536,0,290.19000244140625
2024-11-10,2024-11-11,293.80999755859375,294.8399963378906,294.4511740207695,0.3719125720890462,65536,0,294.6300048828125
2024-11-11,2024-11-12,294.92999267578125,296.0400085449219,295.61213970184315,0.3965859966393753,65536,0,295.79998779296875
2024-11-12,2024-11-13,291.6499938964844,292.5799865722656,292.19643998146057,0.32071345987432615,65536,0,292.3399963378906
2024-11-14,2024-11-15,287.2799987792969,287.92999267578125,287.6604739427591,0.22350730976643027,65536,0,287.760009765625
2024-11-16,2024-11-17,291.489990234375,292.42999267578125,292.04398274421237,0.3249121090206651,65536,0,292.19000244140625
2024-11-17,2024-11-18,294.7300109863281,295.9100036621094,295.39402496815,0.39418333679272693,65536,0,295.55999755859375
2024-11-18,2024-11-19,291.5,292.45001220703125,292.03575217723795,0.317843914951915,65536,0,292.1700134277344
2024-11-19,2024-11-20,293.70001220703125,294.80999755859375,294.3241504430771,0.370594695223019,65536,0,294.4800109863281
2024-11-20,2024-11-21,283.9800109863281,284.4200134277344,284.23437130450924,0.14988828041364688,65536,0,284.29998779296875
2024-11-21,2024-11-22,282.239990234375,282.54998779296875,282.41569387912784,0.10408967214961407,65536,0,282.4599914550781
2024-11-23,2024-11-24,288.5400085449219,289.30999755859375,288.9658268690134,0.2541128410988375,65536,0,289.07000732421875
2024-11-24,2024-11-25,295.0899963378906,296.3599853515625,295.75097012519524,0.4029837984626382,65536,0,295.8999938964844
2024-11-25,2024-11-26,283.4599914550781,283.8599853515625,283.66487360000707,0.12572181895426907,65536,0,283.7099914550781
2024-11-26,2024-11-27,282.1700134277344,282.489990234375,282.33390533923784,0.10057011183549082,65536,0,282.3699951171875
2024-11-27,2024-11-28,283.4599914550781,283.8699951171875,283.66596841812236,0.1274478707840809,65536,0,283.7099914550781
2024-11-28,2024-11-29,274.82000732421875,275.0299987792969,274.9203157424928,0.06357484490212362,65536,0,274.94000244140625
2024-11-30,2024-12-01,272.8599853515625,273.0400085449219,272.9570356607427,0.05840476510138305,65536,0,272.9800109863281
2024-12-02,2024-12-03,273.4100036621094,273.6099853515625,273.5027656555172,0.05971735668816728,65536,0,273.5199890136719
2024-12-03,2024-12-04,277.4599914550781,277.6600036621094,277.5592083930936,0.06174162282769379,65536,0,277.5799865722656
2024-12-04,2024-12-05,284.7300109863281,285.260009765625,284.9942146539674,0.1640431378207474,65536,0,285.04998779296875
2024-12-05,2024-12-06,273.82000732421875,274.0,273.91058301925574,0.05600228784439094,65536,0,273.92999267578125
2024-12-06,2024-12-07,279.260009765625,279.4599914550781,279.35922336578403,0.061736174153446115,65536,0,279.3800048828125
2024-12-07,2024-12-08,288.1300048828125,288.92999267578125,288.4946472644797,0.23707291208668507,65536,0,288.55999755859375
2024-12-09,2024-12-10,284.04998779296875,284.5199890136719,284.24319183826583,0.13427180854450638,65536,0,284.2699890136719
2024-12-10,2024-12-11,280.4700012207031,280.70001220703125,280.5596157312332,0.06482151702570806,65536,0,280.57000732421875
2024-12-11,2024-12-12,277.6300048828125,277.8399963378906,277.7174297571229,0.060216572748606804,65536,0,277.7300109863281
2024-12-12,2024-12-13,278.489990234375,278.7099914550781,278.5785099267954,0.06248337463294818,65536,0,278.5899963378906
2024-12-13,2024-12-14,277.45001220703125,277.67999267578125,277.53960371017524,0.06481113483928398,65536,0,277.54998779296875
2024-12-14,2024-12-15,280.5400085449219,280.7900085449219,280.63180935383235,0.06967530616670864,65536,0,280.6400146484375
2024-12-16,2024-12-17,287.7200012207031,288.5299987792969,288.0083978176117,0.22478074945500556,65536,0,288.0299987792969
2024-12-18,2024-12-19,282.05999755859375,282.4100036621094,282.16918814182327,0.09631925986243577,65536,0,282.1700134277344
2024-12-19,2024-12-20,284.8599853515625,285.42999267578125,285.0512440204632,0.15729389542018676,65536,0,285.05999755859375
2024-12-20,2024-12-21,275.2300109863281,275.45001220703125,275.2991758585011,0.060548656778703996,65536,0,275.29998779296875
2024-12-21,2024-12-22,279.3999938964844,279.6099853515625,279.46163201331984,0.05782656141262952,65536,0,279.4599914550781
2024-12-22,2024-12-23,282.0899963378906,282.44000244140625,282.19918692112014,0.09631925986243577,65536,0,282.20001220703125
2024-12-23,2024-12-24,286.3599853515625,287.05999755859375,286.578346848487,0.19263835174547592,65536,0,286.5799865722656
2024-12-25,2024-12-26,283.0899963378906,283.5199890136719,283.2208189964269,0.11832825941974519,65536,0,283.2200012207031
2024-12-26,2024-12-27,286.32000732421875,287.0299987792969,286.53300869464573,0.19541377025367793,65536,0,286.5299987792969
2024-12-27,2024-12-28,281.1499938964844,281.45001220703125,281.2408138513551,0.08256491830716516,65536,0,281.239990234375
